"Cluster","ONTOLOGY","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"ENTREZID","BP","GO:0007409","axonogenesis","18/139","455/18888",0.0395604395604396,5.37566606055815,8.1348901520742,6.79854195016049e-09,1.1112798630902e-06,9.17431733058978e-07,"EFNA5/FLRT2/FSTL4/EPHA6/FGFR2/NRXN3/ETV1/ANK3/EPHB1/DSCAM/ROBO2/GLI3/TRIO/MACF1/NRXN1/KALRN/CDH4/AUTS2",18
"ENTREZID","BP","GO:0035249","synaptic transmission, glutamatergic","10/139","113/18888",0.0884955752212389,12.0252116890558,10.1212935627996,1.09583860689214e-08,1.60383807537286e-06,1.32406965509449e-06,"HOMER1/GRID2/GRM5/GRIN2A/GRM7/GRIA4/NLGN1/GRID1/GRIA2/NRXN1",10
"ENTREZID","BP","GO:0050807","regulation of synapse organization","13/139","243/18888",0.0534979423868313,7.26956212807532,8.46952372805607,2.97694847087841e-08,3.58809848048816e-06,2.96220197690502e-06,"HOMER1/EFNA5/FLRT2/IL1RAPL1/LRFN5/GRID2/LINGO2/EPHB1/NLGN1/ROBO2/GRID1/PTPRD/NRXN1",13
"ENTREZID","BP","GO:0050803","regulation of synapse structure or activity","13/139","249/18888",0.0522088353413655,7.09439195631447,8.33524917561709,3.96920305670588e-08,4.51827614621686e-06,3.73012240475225e-06,"HOMER1/EFNA5/FLRT2/IL1RAPL1/LRFN5/GRID2/LINGO2/EPHB1/NLGN1/ROBO2/GRID1/PTPRD/NRXN1",13
"ENTREZID","BP","GO:0034762","regulation of transmembrane transport","17/139","489/18888",0.0347648261758691,4.72401465330803,7.18403660918012,1.19498144989932e-07,1.28869315307564e-05,1.06389761218183e-05,"HOMER1/SHISA6/CHRM3/CACNB2/GRM5/GRIN2A/SLC8A1/RYR2/ANK3/KCNIP4/FGF12/RGS7/NLGN1/FGF14/SLC1A2/DMD/PDE4D",17
"ENTREZID","BP","GO:0050905","neuromuscular process","10/139","165/18888",0.0606060606060606,8.23544800523218,8.03747279940284,3.98502134703788e-07,3.71150397276392e-05,3.06408100702865e-05,"HOMER1/GRID2/RBFOX1/GRIN2A/CSMD1/FGF12/CNTNAP2/DMD/CAMTA1/NRXN1",10
"ENTREZID","BP","GO:0098742","cell-cell adhesion via plasma-membrane adhesion molecules","12/139","279/18888",0.043010752688172,5.84451148758413,7.0192451325852,1.07352408846289e-06,8.79860342904187e-05,7.26380299014682e-05,"EFNA5/IL1RAPL1/LRFN5/GRID2/KIRREL3/NLGN1/DSCAM/ROBO2/FAT3/PCDH7/PTPRD/CDH4",12
"ENTREZID","BP","GO:0010975","regulation of neuron projection development","15/139","460/18888",0.0326086956521739,4.43102908977166,6.41451832272274,1.54643878721725e-06,0.000121871272115698,0.000100612434455795,"EFNA5/IL1RAPL1/FSTL4/GRID2/SPOCK1/NLGN1/DSCAM/ROBO2/FAT3/ENC1/SYNE1/PTPRG/PTPRD/MACF1/CDH4",15
"ENTREZID","BP","GO:0048013","ephrin receptor signaling pathway","6/139","51/18888",0.117647058823529,15.9864578925095,9.22737249345127,1.9551846195455e-06,0.000143077617337455,0.000118119612165775,"EFNA5/EPHA6/EPHB1/ARHGEF7/ANKS1B/KALRN",6
"ENTREZID","BP","GO:0032409","regulation of transporter activity","11/139","260/18888",0.0423076923076923,5.74897620365246,6.63901100450712,3.59825820660784e-06,0.000237833260172241,0.000196346381596564,"HOMER1/SHISA6/CHRM3/CACNB2/GRM5/RYR2/ANK3/FGF12/NLGN1/FGF14/DMD",11
"ENTREZID","BP","GO:0070588","calcium ion transmembrane transport","12/139","334/18888",0.0359281437125748,4.88209193124542,6.16339651782123,6.86735415693365e-06,0.000439725270861157,0.000363020991124749,"CACNA2D3/PLCB1/SLC24A2/CACNA1A/CACNB2/GRIN2A/SLC8A1/RYR2/ATP2B2/PLCG2/DMD/PDE4D",12
"ENTREZID","BP","GO:0071625","vocalization behavior","4/139","19/18888",0.210526315789474,28.6073457023855,10.3663733844742,9.99123497459078e-06,0.000616112944697864,0.000508640159322631,"NRXN3/CNTNAP2/GLI3/NRXN1",4
"ENTREZID","BP","GO:0097553","calcium ion transmembrane import into cytosol","9/139","187/18888",0.0481283422459893,6.53991459239026,6.55528070247225,1.02234456416434e-05,0.000616112944697864,0.000508640159322631,"PLCB1/SLC24A2/CACNA1A/GRIN2A/SLC8A1/RYR2/PLCG2/DMD/PDE4D",9
"ENTREZID","BP","GO:0006816","calcium ion transport","13/139","428/18888",0.0303738317757009,4.12734485308949,5.63484073554317,1.69835703520369e-05,0.000966648212536764,0.000798029168296001,"HOMER1/CACNA2D3/PLCB1/SLC24A2/CACNA1A/CACNB2/GRIN2A/SLC8A1/RYR2/ATP2B2/PLCG2/DMD/PDE4D",13
"ENTREZID","BP","GO:0007612","learning","8/139","153/18888",0.0522875816993464,7.1050923966709,6.52846294659886,1.77318101843656e-05,0.000981958893723381,0.000810669102881238,"PLCB1/SLC24A2/GRM5/GRIN2A/NRXN3/CSMD1/CNTNAP2/NRXN1",8
"ENTREZID","BP","GO:0031644","regulation of nervous system process","7/139","119/18888",0.0588235294117647,7.99322894625476,6.58916671317022,2.8340299194523e-05,0.00147517684326441,0.00121785167970302,"GRIN2A/FGF12/RIMS2/NLGN1/SYNE1/DLGAP1/NRXN1",7
"ENTREZID","BP","GO:0098815","modulation of excitatory postsynaptic potential","5/139","49/18888",0.102040816326531,13.8658053149317,7.76436472933079,2.95179358583899e-05,0.00147517684326441,0.00121785167970302,"GRIN2A/RIMS2/NLGN1/SYNE1/NRXN1",5
"ENTREZID","BP","GO:0043269","regulation of monoatomic ion transport","13/139","470/18888",0.0276595744680851,3.75851829174958,5.21438865848232,4.48550069994646e-05,0.0020520496659384,0.00169409663926589,"HOMER1/CACNB2/GRM5/GRIN2A/SLC8A1/RYR2/ANK3/KCNIP4/FGF12/RGS7/FGF14/DMD/PDE4D",13
"ENTREZID","BP","GO:0001964","startle response","4/139","28/18888",0.142857142857143,19.4121274409044,8.39483142261447,5.01332654356716e-05,0.00218559703995087,0.00180434843348543,"GRID2/GRIN2A/CSMD1/CNTNAP2",4
"ENTREZID","BP","GO:0031346","positive regulation of cell projection organization","11/139","360/18888",0.0305555555555556,4.15203836930456,5.1991016734346,7.34908076206334e-05,0.00301165329629356,0.00248631005992333,"EFNA5/IL1RAPL1/NLGN1/DSCAM/ROBO2/ENC1/PTPRD/ARHGEF7/MACF1/CDH4/AUTS2",11
"ENTREZID","BP","GO:0006874","intracellular calcium ion homeostasis","10/139","302/18888",0.033112582781457,4.49949973795798,5.27857025487749,8.14982744315132e-05,0.00314927805591174,0.00259992799355278,"PLCB1/SLC24A2/CACNB2/GRM5/SLC8A1/RYR2/ATP2B2/PLCG2/DMD/PDE4D",10
"ENTREZID","BP","GO:0071709","membrane assembly","5/139","61/18888",0.0819672131147541,11.1381059087156,6.82858965457593,8.58037544258328e-05,0.00314927805591174,0.00259992799355278,"IL1RAPL1/ANK3/NLGN1/PTPRD/NRXN1",5
"ENTREZID","BP","GO:0010644","cell communication by electrical coupling","4/139","32/18888",0.125,16.9856115107914,7.79254456226494,8.60615240280188e-05,0.00314927805591174,0.00259992799355278,"SLC8A1/RYR2/ANK3/PDE4D",4
"ENTREZID","BP","GO:0050769","positive regulation of neurogenesis","9/139","246/18888",0.0365853658536585,4.97139849096333,5.3983943196588,8.78026447047163e-05,0.00315627401754322,0.00260570360185557,"EFNA5/IL1RAPL1/GRM5/DSCAM/ROBO2/GLI3/PTPRD/MACF1/CDH4",9
"ENTREZID","BP","GO:0030534","adult behavior","7/139","144/18888",0.0486111111111111,6.60551558752998,5.81387257022203,9.54428928832801e-05,0.00337176702616967,0.00278360669443614,"ZIC1/HOMER1/NRXN3/FGF12/CNTNAP2/SLC1A2/NRXN1",7
"ENTREZID","BP","GO:0044091","membrane biogenesis","5/139","65/18888",0.0769230769230769,10.4526840066408,6.57305449790174,0.000116359115153026,0.00390514667341044,0.00322394528995946,"IL1RAPL1/ANK3/NLGN1/PTPRD/NRXN1",5
"ENTREZID","BP","GO:0007638","mechanosensory behavior","3/139","14/18888",0.214285714285714,29.1181911613566,9.06189983408783,0.000133781552930381,0.00428310003053672,0.00353596966380135,"ETV1/CNTNAP2/NRXN1",3
"ENTREZID","BP","GO:0055074","calcium ion homeostasis","10/139","326/18888",0.0306748466257669,4.16824822350708,4.96838739902104,0.00015255388044846,0.00462895494910942,0.00382149474877031,"PLCB1/SLC24A2/CACNB2/GRM5/SLC8A1/RYR2/ATP2B2/PLCG2/DMD/PDE4D",10
"ENTREZID","BP","GO:0010649","regulation of cell communication by electrical coupling","3/139","15/18888",0.2,27.1769784172662,8.73261895454961,0.000166326931767477,0.00486862690273658,0.00401935908797497,"SLC8A1/ANK3/PDE4D",3
"ENTREZID","BP","GO:0007158","neuron cell-cell adhesion","3/139","16/18888",0.1875,25.4784172661871,8.43401165359048,0.000203608687344471,0.00571498904614825,0.00471808450703051,"NRXN3/NLGN1/NRXN1",3
"ENTREZID","BP","GO:0048639","positive regulation of developmental growth","7/139","169/18888",0.0414201183431953,5.62836831126815,5.20391000495913,0.00025705864648014,0.0067527329056129,0.00557480762339521,"PLCB1/EFNA5/FGFR2/RIMS2/DSCAM/MACF1/CDH4",7
"ENTREZID","BP","GO:0035418","protein localization to synapse","5/139","78/18888",0.0641025641025641,8.71057000553403,5.87542414789365,0.000275514531469217,0.00701744555208132,0.00579334463650802,"HOMER1/GRIN2A/NLGN1/GPC6/NRXN1",5
"ENTREZID","BP","GO:0051651","maintenance of location in cell","8/139","228/18888",0.0350877192982456,4.76789095039758,4.92844330070849,0.000289406185444875,0.00723162529239695,0.00597016354313113,"PLCB1/SLC8A1/RYR2/ANK3/SYNE1/PLCG2/DMD/PDE4D",8
"ENTREZID","BP","GO:0008038","neuron recognition","4/139","45/18888",0.0888888888888889,12.0786570743405,6.40646102133806,0.000331132305317911,0.00798223639525177,0.00658984042905119,"OPCML/CNTNAP2/DSCAM/ROBO2",4
"ENTREZID","BP","GO:0048588","developmental cell growth","8/139","238/18888",0.0336134453781513,4.56755939785986,4.76892078766878,0.000385759475158151,0.00899689196020845,0.00742750269967634,"EFNA5/FSTL4/RIMS2/DSCAM/SORBS2/MACF1/CDH4/AUTS2",8
"ENTREZID","BP","GO:0035725","sodium ion transmembrane transport","7/139","182/18888",0.0384615384615385,5.22634200332042,4.93298395385269,0.000402712663650134,0.00916842497576806,0.00756911404076919,"SLC24A2/SLC8A1/ANK3/FGF12/FGF14/DMD/SLC4A4",7
"ENTREZID","BP","GO:0060560","developmental growth involved in morphogenesis","8/139","243/18888",0.0329218106995885,4.4735766942002,4.69243938121442,0.000442915783563843,0.00986450478828602,0.00814377190145418,"EFNA5/FSTL4/FGFR2/RIMS2/DSCAM/MACF1/CDH4/AUTS2",8
"ENTREZID","BP","GO:0007213","G protein-coupled acetylcholine receptor signaling pathway","3/139","21/18888",0.142857142857143,19.4121274409044,7.2687884708037,0.00047071382858291,0.0102605599443232,0.00847074045389402,"PLCB1/CHRM3/GNAQ",3
"ENTREZID","BP","GO:0060047","heart contraction","8/139","249/18888",0.0321285140562249,4.36577966542429,4.60334884638801,0.000520399875638221,0.0111072848456533,0.00916976535252875,"SGCZ/CACNB2/SLC8A1/RYR2/ATP2B2/FGF12/DMD/PDE4D",8
"ENTREZID","BP","GO:0006941","striated muscle contraction","7/139","191/18888",0.0366492146596859,4.98007457908019,4.7601623538608,0.000537566885073457,0.0111078427250745,0.00917022591723551,"HOMER1/CACNB2/SLC8A1/RYR2/FGF12/DMD/PDE4D",7
"ENTREZID","BP","GO:0035176","social behavior","4/139","52/18888",0.0769230769230769,10.4526840066408,5.87708953158231,0.000578200030685799,0.0117300184443089,0.00968387127995914,"NRXN3/CNTNAP2/GRID1/NRXN1",4
"ENTREZID","BP","GO:0051703","biological process involved in intraspecies interaction between organisms","4/139","54/18888",0.0740740740740741,10.0655475619504,5.74406668789065,0.000667804341472328,0.0128040278905662,0.0105705339293313,"NRXN3/CNTNAP2/GRID1/NRXN1",4
"ENTREZID","BP","GO:0035994","response to muscle stretch","3/139","25/18888",0.12,16.3061870503597,6.59373477314334,0.000796681472913876,0.0145750030178619,0.0120325857798177,"SLC8A1/RYR2/DMD",3
"ENTREZID","BP","GO:0086064","cell communication by electrical coupling involved in cardiac conduction","3/139","25/18888",0.12,16.3061870503597,6.59373477314334,0.000796681472913876,0.0145750030178619,0.0120325857798177,"SLC8A1/RYR2/PDE4D",3
"ENTREZID","BP","GO:0010882","regulation of cardiac muscle contraction by calcium ion signaling","3/139","26/18888",0.115384615384615,15.6790260099613,6.44896291456678,0.000895767014962417,0.015960231423113,0.0131761793413694,"SLC8A1/RYR2/DMD",3
"ENTREZID","BP","GO:0150115","cell-substrate junction organization","5/139","103/18888",0.0485436893203883,6.59635398477335,4.90363374922428,0.000986713873360548,0.0168481393876314,0.0139092034604421,"EFNA5/LIMCH1/ARHGEF7/MACF1/DST",5
"ENTREZID","BP","GO:0099560","synaptic membrane adhesion","3/139","27/18888",0.111111111111111,15.0983213429257,6.31199673435038,0.0010023357165194,0.016973437050812,0.0140126445971873,"EFNA5/LRFN5/PTPRD",3
"ENTREZID","BP","GO:0061387","regulation of extent of cell growth","5/139","109/18888",0.0458715596330275,6.23325193056564,4.71789744365086,0.0012714070260518,0.0202306243072377,0.0167016584530225,"EFNA5/FSTL4/DSCAM/MACF1/CDH4",5
"ENTREZID","BP","GO:0070252","actin-mediated cell contraction","5/139","113/18888",0.0442477876106195,6.01260584452792,4.60164001362744,0.00149224653506158,0.0235075696000995,0.019406983816167,"CACNB2/RYR2/LIMCH1/FGF12/PDE4D",5
"ENTREZID","BP","GO:0060537","muscle tissue development","10/139","438/18888",0.0228310502283105,3.10239479649157,3.83312497094535,0.00151439687028459,0.0235075696000995,0.019406983816167,"HOMER1/SGCZ/RBFOX1/SLC8A1/FGFR2/RYR2/EPHB1/SORBS2/SYNE1/DMD",10
"ENTREZID","BP","GO:0015012","heparan sulfate proteoglycan biosynthetic process","3/139","33/18888",0.0909090909090909,12.3531720078483,5.6203162688501,0.0018103888241665,0.0274776792645716,0.0226845601593417,"HS3ST3A1/HS6ST3/TCF7L2",3
"ENTREZID","BP","GO:0021953","central nervous system neuron differentiation","6/139","178/18888",0.0337078651685393,4.58038962088756,4.13240837122413,0.00205671708252722,0.0309868625154284,0.0255816126286474,"GRID2/MDGA2/FGFR2/SPOCK1/EPHB1/GLI3",6
"ENTREZID","BP","GO:0006814","sodium ion transport","7/139","244/18888",0.0286885245901639,3.89833706805048,3.92350393965916,0.0022192621736851,0.0314274972701509,0.0259453844561571,"SLC24A2/SLC8A1/ANK3/FGF12/FGF14/DMD/SLC4A4",7
"ENTREZID","BP","GO:0022604","regulation of cell morphogenesis","7/139","246/18888",0.0284552845528455,3.86664327074925,3.89668042240382,0.00232321917221111,0.0314274972701509,0.0259453844561571,"EFNA5/IL1RAPL1/RIMS2/PTPRD/ARHGEF7/MACF1/FMNL2",7
"ENTREZID","BP","GO:0021761","limbic system development","5/139","125/18888",0.04,5.43539568345324,4.28386792229587,0.00232467050226142,0.0314274972701509,0.0259453844561571,"ZIC1/KIRREL3/FGFR2/CNTNAP2/GLI3",5
"ENTREZID","BP","GO:0032957","inositol trisphosphate metabolic process","2/139","10/18888",0.2,27.1769784172662,7.12920921528704,0.00232781370869308,0.0314274972701509,0.0259453844561571,"PLCB1/PLCG2",2
"ENTREZID","BP","GO:0071600","otic vesicle morphogenesis","2/139","10/18888",0.2,27.1769784172662,7.12920921528704,0.00232781370869308,0.0314274972701509,0.0259453844561571,"FGFR2/STOX1",2
"ENTREZID","BP","GO:0097050","type B pancreatic cell apoptotic process","2/139","10/18888",0.2,27.1769784172662,7.12920921528704,0.00232781370869308,0.0314274972701509,0.0259453844561571,"RYR2/TCF7L2",2
"ENTREZID","BP","GO:0097113","AMPA glutamate receptor clustering","2/139","10/18888",0.2,27.1769784172662,7.12920921528704,0.00232781370869308,0.0314274972701509,0.0259453844561571,"SHISA6/NLGN1",2
"ENTREZID","BP","GO:0097688","glutamate receptor clustering","2/139","10/18888",0.2,27.1769784172662,7.12920921528704,0.00232781370869308,0.0314274972701509,0.0259453844561571,"SHISA6/NLGN1",2
"ENTREZID","BP","GO:0001764","neuron migration","6/139","183/18888",0.0327868852459016,4.45524236348626,4.0441293710192,0.00236293736529503,0.0316448278528726,0.0261248045822436,"FLRT2/KIRREL3/SPOCK1/FAT3/CEP85L/AUTS2",6
"ENTREZID","BP","GO:0010092","specification of animal organ identity","3/139","37/18888",0.0810810810810811,11.0176939529458,5.25171634079991,0.00252352564863363,0.0329344207264351,0.027189444970528,"FGFR2/ROBO2/GLI3",3
"ENTREZID","BP","GO:0008361","regulation of cell size","6/139","188/18888",0.0319148936170213,4.33675187509567,3.95896689611307,0.0027023186149061,0.0350446255819152,0.0289315523927655,"EFNA5/FSTL4/DSCAM/KCNMA1/MACF1/CDH4",6
"ENTREZID","BP","GO:0071313","cellular response to caffeine","2/139","11/18888",0.181818181818182,24.7063440156965,6.7716464102273,0.00283140938746018,0.0360345207137014,0.0297487733615464,"SLC8A1/RYR2",2
"ENTREZID","BP","GO:0045927","positive regulation of growth","7/139","258/18888",0.0271317829457364,3.68679939769115,3.74143757529096,0.00302822169072467,0.0378343063676515,0.0312346101219162,"PLCB1/EFNA5/FGFR2/RIMS2/DSCAM/MACF1/CDH4",7
"ENTREZID","BP","GO:0030073","insulin secretion","6/139","200/18888",0.03,4.07654676258993,3.76614417402,0.00366527540492516,0.0408160288298459,0.033696210387384,"PLCB1/EFNA5/CHRM3/RIMS2/PTPRN2/TCF7L2",6
"ENTREZID","BP","GO:0060828","regulation of canonical Wnt signaling pathway","7/139","268/18888",0.0261194029850746,3.54923225598626,3.61898513717425,0.00373209132410589,0.0413354330977998,0.0341250114243992,"BICC1/SHISA6/FGFR2/GLI3/TCF7L2/GPC5/GNAQ",7
"ENTREZID","BP","GO:0031345","negative regulation of cell projection organization","6/139","201/18888",0.0298507462686567,4.05626543541286,3.7507588399481,0.00375567684043705,0.0413730206777179,0.0341560423462498,"ARHGAP24/FSTL4/SPOCK1/NLGN1/FAT3/PTPRG",6
"ENTREZID","BP","GO:0006448","regulation of translational elongation","2/139","13/18888",0.153846153846154,20.9053680132817,6.18156219278529,0.00397691907225063,0.0428879325212713,0.0354066977789848,"GRM5/CPEB3",2
"ENTREZID","BP","GO:0060134","prepulse inhibition","2/139","13/18888",0.153846153846154,20.9053680132817,6.18156219278529,0.00397691907225063,0.0428879325212713,0.0354066977789848,"GRID2/CNTNAP2",2
"ENTREZID","BP","GO:0099151","regulation of postsynaptic density assembly","2/139","13/18888",0.153846153846154,20.9053680132817,6.18156219278529,0.00397691907225063,0.0428879325212713,0.0354066977789848,"GRID2/PTPRD",2
"ENTREZID","BP","GO:0060443","mammary gland morphogenesis","3/139","44/18888",0.0681818181818182,9.2648790058862,4.72580857821967,0.00414326391216705,0.0439872940726958,0.036314290192814,"FGFR2/CSMD1/GLI3",3
"ENTREZID","BP","GO:2000300","regulation of synaptic vesicle exocytosis","3/139","44/18888",0.0681818181818182,9.2648790058862,4.72580857821967,0.00414326391216705,0.0439872940726958,0.036314290192814,"RIMS2/NLGN1/STXBP5",3
"ENTREZID","BP","GO:0006836","neurotransmitter transport","6/139","206/18888",0.029126213592233,3.95781239086401,3.67529654243433,0.00423274161061545,0.0444407334659476,0.0366886330583739,"RIMS2/NLGN1/SLC1A2/PTPRN2/NRXN1/STXBP5",6
"ENTREZID","BP","GO:0007269","neurotransmitter secretion","5/139","144/18888",0.0347222222222222,4.71822541966427,3.85643183748846,0.00426837748145782,0.0444407334659476,0.0366886330583739,"RIMS2/NLGN1/PTPRN2/NRXN1/STXBP5",5
"ENTREZID","BP","GO:0099643","signal release from synapse","5/139","144/18888",0.0347222222222222,4.71822541966427,3.85643183748846,0.00426837748145782,0.0444407334659476,0.0366886330583739,"RIMS2/NLGN1/PTPRN2/NRXN1/STXBP5",5
"ENTREZID","BP","GO:0003018","vascular process in circulatory system","7/139","275/18888",0.0254545454545455,3.45888816219751,3.53668817323156,0.00429441933931558,0.0444407334659476,0.0366886330583739,"AKAP12/SLC2A13/CHRM3/SLC8A1/SLC1A2/KCNMA1/SLC4A4",7
"ENTREZID","BP","GO:0051592","response to calcium ion","5/139","146/18888",0.0342465753424658,4.65359219473736,3.81582428519572,0.00452467284020888,0.0459278574849,0.0379163478863807,"HOMER1/RYR2/NLGN1/PLCG2/KCNMA1",5
"ENTREZID","BP","GO:0090596","sensory organ morphogenesis","7/139","278/18888",0.0251798561151079,3.42156203095078,3.5022298526786,0.00455415444027559,0.0459278574849,0.0379163478863807,"ZIC1/FGFR2/EPHB1/STOX1/DSCAM/FAT3/GLI3",7
"ENTREZID","BP","GO:0009214","cyclic nucleotide catabolic process","2/139","14/18888",0.142857142857143,19.4121274409044,5.9338402546761,0.00461744199213734,0.0459278574849,0.0379163478863807,"PDE10A/PDE4D",2
"ENTREZID","BP","GO:0099601","regulation of neurotransmitter receptor activity","3/139","46/18888",0.0652173913043478,8.86205817954332,4.59675656667837,0.0046984623221565,0.0462843716254744,0.0382106728325177,"SHISA6/NLGN1/DLGAP1",3
"ENTREZID","BP","GO:1905144","response to acetylcholine","3/139","46/18888",0.0652173913043478,8.86205817954332,4.59675656667837,0.0046984623221565,0.0462843716254744,0.0382106728325177,"PLCB1/CHRM3/GNAQ",3
"ENTREZID","BP","GO:0032411","positive regulation of transporter activity","4/139","92/18888",0.0434782608695652,5.90803878636221,4.06320764897831,0.00475953368806145,0.04666164845377,0.0385221386890695,"CACNB2/RYR2/ANK3/DMD",4
"ENTREZID","BP","GO:0050919","negative chemotaxis","3/139","47/18888",0.0638297872340425,8.67350375019134,4.53513792547597,0.00499209006850292,0.048249021463974,0.0398326153926723,"EFNA5/FLRT2/ROBO2",3
"ENTREZID","CC","GO:0097060","synaptic membrane","28/144","397/19894",0.0705289672544081,9.7437727399944,15.0265076304252,6.35769768263122e-20,1.52584744383149e-17,1.09753938942265e-17,"KCTD8/SHISA6/KCNQ5/CHRM3/IL1RAPL1/LRFN5/GRID2/GRM5/GRIN2A/NRXN3/GRM7/ANK3/ATP2B2/SORCS2/GRIA4/RIMS2/CNTNAP2/NLGN1/ITSN1/SLC1A2/GRID1/GRIA2/SYNE1/DMD/KCNMA1/PTPRD/LRRTM4/NRXN1",28
"ENTREZID","CC","GO:0098984","neuron to neuron synapse","22/144","360/19894",0.0611111111111111,8.44266975308642,12.1683654672894,1.64639274736005e-14,1.31711419788804e-12,9.47397931814203e-13,"HOMER1/SHISA6/LRFN5/GRID2/GRM5/GRIN2A/SLC8A1/SPOCK1/GRM7/ATP2B2/SORCS2/GRIA4/NLGN1/GRID1/GRIA2/DLGAP1/PTPRD/ARHGAP32/CPEB3/ANKS1B/KALRN/STXBP5",22
"ENTREZID","CC","GO:0014069","postsynaptic density","19/144","313/19894",0.060702875399361,8.38627085552006,11.2467696871036,1.30900937192032e-12,6.28324498521754e-11,4.51952709463016e-11,"HOMER1/SHISA6/LRFN5/GRID2/GRM5/GRIN2A/SLC8A1/SPOCK1/ATP2B2/SORCS2/GRIA4/NLGN1/GRID1/GRIA2/DLGAP1/ARHGAP32/CPEB3/ANKS1B/KALRN",19
