"","Cluster","group","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"15","Ast_ac","Ast_ac","GO:0051961","negative regulation of nervous system development","8/153","155/18888",0.0516129032258065,6.37166350411132,6.06836002526974,3.88460799053141e-05,0.00657275671997914,0.00578738439571802,"23500/3400/3949/10371/7869/9037/57556/80031",8
"16","Ast_ac","Ast_ac","GO:0016049","cell growth","14/153","496/18888",0.0282258064516129,3.48450347881088,5.0671799214313,5.27551847037308e-05,0.0083682911736293,0.00736837217934345,"183/9201/11170/81565/734/3275/6285/10371/7869/9037/57556/80031/6456/3371",14
"17","Ast_ac","Ast_ac","GO:0001755","neural crest cell migration","5/153","57/18888",0.087719298245614,10.8290333677331,6.71601878832471,9.74038059413389e-05,0.0145418152634775,0.0128042278646107,"10371/7869/9037/57556/80031",5
"19","Ast_ac","Ast_ac","GO:0010721","negative regulation of cell development","10/153","288/18888",0.0347222222222222,4.28649237472767,5.07893620240636,0.000122670284764602,0.0150583615612777,0.0132590525463865,"23500/2200/3400/3949/10371/7869/9037/57556/80031/7099",10
"21","Ast_ac","Ast_ac","GO:1902653","secondary alcohol biosynthetic process","5/153","60/18888",0.0833333333333333,10.2875816993464,6.51143237230174,0.000124596372256435,0.0150583615612777,0.0132590525463865,"1595/3157/3422/3638/6307",5
"22","Ast_ac","Ast_ac","GO:0035973","aggrephagy","3/153","14/18888",0.214285714285714,26.453781512605,8.60963442650086,0.000177677392440452,0.0204975100915394,0.0180482824952669,"9531/26353/8878",3
"24","Ast_ac","Ast_ac","GO:0032535","regulation of cellular component size","11/153","370/18888",0.0297297297297297,3.67016428192899,4.68750950288721,0.000219476679106799,0.0218104091246327,0.0192043044965348,"361/23500/2006/56262/10371/7869/9037/57556/80031/7114/10083",11
"25","Ast_ac","Ast_ac","GO:0046847","filopodium assembly","5/153","68/18888",0.0735294117647059,9.07727797001153,6.02989892649661,0.00022577039007756,0.0218104091246327,0.0192043044965348,"50649/23500/1809/3691/221178",5
"26","Ast_ac","Ast_ac","GO:0031345","negative regulation of cell projection organization","8/153","201/18888",0.0398009950248756,4.91347185640425,5.04069949842169,0.000237152825691815,0.0218104091246327,0.0192043044965348,"1809/2670/83999/10371/7869/9037/57556/80031",8
"27","Ast_ac","Ast_ac","GO:1900181","negative regulation of protein localization to nucleus","4/153","38/18888",0.105263157894737,12.9948400412797,6.68853399341646,0.000246597414369295,0.0218104091246327,0.0192043044965348,"284/9201/166614/5569",4
"28","Ast_ac","Ast_ac","GO:0051223","regulation of protein transport","12/153","440/18888",0.0272727272727273,3.3668449197861,4.53964459021072,0.000251403970967295,0.0218104091246327,0.0192043044965348,"114/284/9531/975/1595/3638/56262/81565/5208/5569/94121/7099",12
"29","Ast_ac","Ast_ac","GO:1901653","cellular response to peptide","11/153","376/18888",0.0292553191489362,3.61159783062161,4.62246793978746,0.00025195710726103,0.0218104091246327,0.0192043044965348,"114/183/2200/2353/2890/3638/81565/5166/8767/7099/677",11
"30","Ast_ac","Ast_ac","GO:0050922","negative regulation of chemotaxis","5/153","70/18888",0.0714285714285714,8.81792717086835,5.92180721982359,0.000258752198979745,0.0218104091246327,0.0192043044965348,"10371/7869/9037/57556/80031",5
"31","Ast_ac","Ast_ac","GO:0016125","sterol metabolic process","7/153","155/18888",0.0451612903225806,5.57520556609741,5.16860271374916,0.000272648632062751,0.0218104091246327,0.0192043044965348,"1595/3157/3422/3638/3949/6307/51422",7
"32","Ast_ac","Ast_ac","GO:0010001","glial cell differentiation","9/153","260/18888",0.0346153846153846,4.27330316742082,4.80275183878461,0.000274993338056834,0.0218104091246327,0.0192043044965348,"23500/2670/3400/3691/3949/5339/7099/7846/1462",9
"33","Ast_ac","Ast_ac","GO:0003018","vascular process in circulatory system","9/153","275/18888",0.0327272727272727,4.04021390374332,4.58947127419636,0.000414409904800047,0.0312559298178287,0.0275211890851687,"10257/183/284/2982/5339/6456/81539/6542/9414",9
"36","Ast_ac","Ast_ac","GO:0048864","stem cell development","5/153","86/18888",0.0581395348837209,7.17738258093935,5.18862229483974,0.000671229551572844,0.0473216833858855,0.0416672613447119,"10371/7869/9037/57556/80031",5
"37","Ast_ac","Ast_ac","GO:0043114","regulation of vascular permeability","4/153","50/18888",0.08,9.87607843137255,5.67922524741288,0.000713569675165047,0.048947022582943,0.0430983903378491,"284/5339/6456/9414",4
